trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,fixation.started,key_resp.started,fixation.stopped,trial.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,tilt,participant,session,date,expName,psychopyVersion,frameRate,expStart,
22,0,22,0,35.72129349998431,,35.70965849998174,35.72129349998431,36.72046639997279,36.72046639997279,37.15469840000151,up,0,0.41739149997010827,None,-2,138018,001,2024-09-17_13h05.23.570,Signal Detection,2024.1.5,None,2024-09-17 13h05.31.809984 +0530,
23,0,23,0,37.17005409998819,,37.15807800000766,37.17005409998819,38.16936970001552,38.16936970001552,38.57032589998562,up,1,0.3980835999827832,None,0,138018,001,2024-09-17_13h05.23.570,Signal Detection,2024.1.5,None,2024-09-17 13h05.31.809984 +0530,
24,0,24,0,38.58566380001139,,38.573652899998706,38.58566380001139,39.58490089996485,39.58490089996485,39.95298699999694,up,0,0.3663520999834873,None,1,138018,001,2024-09-17_13h05.23.570,Signal Detection,2024.1.5,None,2024-09-17 13h05.31.809984 +0530,
25,0,25,0,39.967925300006755,,39.95618929999182,39.967925300006755,40.96712069999194,40.96712069999194,41.417967099987436,up,1,0.44533179997233674,None,0,138018,001,2024-09-17_13h05.23.570,Signal Detection,2024.1.5,None,2024-09-17 13h05.31.809984 +0530,
26,0,26,0,41.433506199973635,,41.42137639998691,41.433506199973635,42.432566299976315,42.44920859998092,42.83357999997679,up,1,0.38635719998274,None,0,138018,001,2024-09-17_13h05.23.570,Signal Detection,2024.1.5,None,2024-09-17 13h05.31.809984 +0530,
27,0,27,0,42.84884659998352,,42.83686979999766,42.84884659998352,43.848244399996474,43.848244399996474,44.29912929999409,up,0,0.44279980001738295,None,3,138018,001,2024-09-17_13h05.23.570,Signal Detection,2024.1.5,None,2024-09-17 13h05.31.809984 +0530,
28,0,28,0,44.31418029998895,,44.30239209998399,44.31418029998895,45.3132608999731,45.3132608999731,45.74778149998747,up,1,0.4237709000008181,None,0,138018,001,2024-09-17_13h05.23.570,Signal Detection,2024.1.5,None,2024-09-17 13h05.31.809984 +0530,
29,0,29,0,45.76308920001611,,45.751104999973904,45.76308920001611,46.76214800000889,46.76214800000889,47.23010449996218,up,1,0.4601223000208847,None,0,138018,001,2024-09-17_13h05.23.570,Signal Detection,2024.1.5,None,2024-09-17 13h05.31.809984 +0530,
30,0,30,0,47.245449399983045,,47.23342609999236,47.245449399983045,48.24451260000933,48.26105649996316,48.71156269998755,down,1,0.45059170003514737,None,-3,138018,001,2024-09-17_13h05.23.570,Signal Detection,2024.1.5,None,2024-09-17 13h05.31.809984 +0530,
31,0,31,0,48.727362899982836,,48.715120500011835,48.727362899982836,49.72659430000931,49.72659430000931,50.12745829997584,up,1,0.39344650000566617,None,0,138018,001,2024-09-17_13h05.23.570,Signal Detection,2024.1.5,None,2024-09-17 13h05.31.809984 +0530,
32,0,32,0,50.14304479997372,,50.13146130001405,50.14304479997372,51.14205329999095,51.15876199997729,51.55997539998498,up,1,0.41554590000305325,None,0,138018,001,2024-09-17_13h05.23.570,Signal Detection,2024.1.5,None,2024-09-17 13h05.31.809984 +0530,
33,0,33,0,51.574928499991074,,51.563353699981235,51.574928499991074,52.57422939996468,52.57422939996468,52.991996600001585,up,1,0.4128272000234574,None,0,138018,001,2024-09-17_13h05.23.570,Signal Detection,2024.1.5,None,2024-09-17 13h05.31.809984 +0530,
34,0,34,0,53.00705700000981,,52.995654899976216,53.00705700000981,54.00625229999423,54.00625229999423,54.507267499982845,up,0,0.49867950001498684,None,1,138018,001,2024-09-17_13h05.23.570,Signal Detection,2024.1.5,None,2024-09-17 13h05.31.809984 +0530,
35,0,35,0,54.5227211000165,,54.51087699999334,54.5227211000165,55.52185660001123,55.5386104999925,55.972666599962395,up,0,0.44023319997359067,None,2,138018,001,2024-09-17_13h05.23.570,Signal Detection,2024.1.5,None,2024-09-17 13h05.31.809984 +0530,
36,0,36,0,55.98820199997863,,55.976440600003116,55.98820199997863,56.98720139998477,56.98720139998477,57.32164099998772,up,0,0.33131959999445826,None,3,138018,001,2024-09-17_13h05.23.570,Signal Detection,2024.1.5,None,2024-09-17 13h05.31.809984 +0530,
37,0,37,0,57.33710020000581,,57.324846200004686,57.33710020000581,58.33616589999292,58.33616589999292,58.786954600014724,down,0,0.43605860002571717,None,0,138018,001,2024-09-17_13h05.23.570,Signal Detection,2024.1.5,None,2024-09-17 13h05.31.809984 +0530,
38,0,38,0,58.8023242999916,,58.79042520001531,58.8023242999916,59.801456000015605,59.801456000015605,60.136112199979834,up,1,0.32628849998582155,None,0,138018,001,2024-09-17_13h05.23.570,Signal Detection,2024.1.5,None,2024-09-17 13h05.31.809984 +0530,
