pos,corr_resp,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,trial.started,fixation.started,line1.started,line2.started,line3.started,line4.started,fixation.stopped,probe.started,key_resp.started,trial.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,routine_2.started,Fixation.started,Fixation.stopped,Line1.started,Line2.started,Line3.started,Line4.started,Probe.started,key_resp_2.started,routine_2.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
50,c,12,2,50,2,,,,,150.9709638999775,,150.95507429999998,150.9709638999775,151.95340410002973,151.95340410002973,151.95340410002973,151.95340410002973,151.96763470000587,152.9666748000309,152.9666748000309,153.96765730000334,c,1,0.9890149999991991,None,,,,,,,,,,,,,,,727214,001,2024-10-16_17h50.24.138,4.0 Motor Sequence Learning,2024.1.5,None,2024-10-16 17h50.33.464475 +0530,
-150,z,12,3,51,3,,,,,153.98517300002277,,153.969147900003,153.98517300002277,154.98172709997743,154.98172709997743,154.98172709997743,154.98172709997743,154.98172709997743,155.98113560001366,155.98113560001366,156.7817296999856,x,0,0.7957619000226259,None,,,,,,,,,,,,,,,727214,001,2024-10-16_17h50.24.138,4.0 Motor Sequence Learning,2024.1.5,None,2024-10-16 17h50.33.464475 +0530,
-50,x,13,0,52,0,,,,,156.79864069999894,,156.78379950003,156.79864069999894,157.7958635999821,157.7958635999821,157.7958635999821,157.7958635999821,157.7958635999821,158.7951516000321,158.7951516000321,159.11325520003447,v,0,0.3087868999573402,None,,,,,,,,,,,,,,,727214,001,2024-10-16_17h50.24.138,4.0 Motor Sequence Learning,2024.1.5,None,2024-10-16 17h50.33.464475 +0530,
150,v,13,1,53,1,,,,,159.1306343000033,,159.11531030002516,159.1306343000033,160.12766820000252,160.12766820000252,160.12766820000252,160.12766820000252,160.12766820000252,161.12680690002162,161.12680690002162,161.6773812000174,z,0,0.5337303000269458,None,,,,,,,,,,,,,,,727214,001,2024-10-16_17h50.24.138,4.0 Motor Sequence Learning,2024.1.5,None,2024-10-16 17h50.33.464475 +0530,
50,c,13,2,54,2,,,,,161.69493280001916,,161.67926479998278,161.69493280001916,162.6782256999868,162.6782256999868,162.6782256999868,162.6782256999868,162.69195459998446,163.69105900003342,163.69105900003342,164.55901590001304,c,1,0.8663390000001527,None,,,,,,,,,,,,,,,727214,001,2024-10-16_17h50.24.138,4.0 Motor Sequence Learning,2024.1.5,None,2024-10-16 17h50.33.464475 +0530,
-150,z,13,3,55,3,,,,,164.57641239999793,,164.56079309998313,164.57641239999793,165.57314589997986,165.57314589997986,165.57314589997986,165.57314589997986,165.57314589997986,166.57232239999576,166.57232239999576,167.63967579999007,x,0,1.059842100017704,None,,,,,,,,,,,,,,,727214,001,2024-10-16_17h50.24.138,4.0 Motor Sequence Learning,2024.1.5,None,2024-10-16 17h50.33.464475 +0530,
-50,x,14,0,56,0,,,,,167.65733030001866,,167.6418201000197,167.65733030001866,168.65610550000565,168.65610550000565,168.65610550000565,168.65610550000565,168.67022760002874,169.65304499998456,169.65304499998456,170.8702405000222,v,0,1.201469299965538,None,,,,,,,,,,,,,,,727214,001,2024-10-16_17h50.24.138,4.0 Motor Sequence Learning,2024.1.5,None,2024-10-16 17h50.33.464475 +0530,
150,v,14,1,57,1,,,,,170.8876405999763,,170.87210310000228,170.8876405999763,171.87056040001335,171.87056040001335,171.87056040001335,171.87056040001335,171.88434589997632,172.88345590000972,172.88345590000972,173.21819500002312,z,0,0.3203994000214152,None,,,,,,,,,,,,,,,727214,001,2024-10-16_17h50.24.138,4.0 Motor Sequence Learning,2024.1.5,None,2024-10-16 17h50.33.464475 +0530,
50,c,14,2,58,2,,,,,173.23533559998032,,173.22010839998256,173.23533559998032,174.21858169999905,174.21858169999905,174.21858169999905,174.21858169999905,174.2325272000162,175.231532100006,175.231532100006,177.74830779997865,c,1,2.5000670999870636,None,,,,,,,,,,,,,,,727214,001,2024-10-16_17h50.24.138,4.0 Motor Sequence Learning,2024.1.5,None,2024-10-16 17h50.33.464475 +0530,
-150,z,14,3,59,3,,,,,177.76531669998076,,177.75139550003223,177.76531669998076,178.76229370001238,178.76229370001238,178.76229370001238,178.76229370001238,178.76229370001238,179.76135099999374,179.76135099999374,180.7616468000342,x,0,0.9892715000314638,None,,,,,,,,,,,,,,,727214,001,2024-10-16_17h50.24.138,4.0 Motor Sequence Learning,2024.1.5,None,2024-10-16 17h50.33.464475 +0530,
-50,x,15,0,60,0,,,,,180.77921389997937,,180.76387640001485,180.77921389997937,181.76237940002466,181.76237940002466,181.76237940002466,181.76237940002466,181.77622440003324,182.7754381999839,182.7754381999839,184.39219099999173,v,0,1.6098838000325486,None,,,,,,,,,,,,,,,727214,001,2024-10-16_17h50.24.138,4.0 Motor Sequence Learning,2024.1.5,None,2024-10-16 17h50.33.464475 +0530,
150,v,15,1,61,1,,,,,184.40974790003384,,184.39408499997808,184.40974790003384,185.39299510000274,185.39299510000274,185.39299510000274,185.39299510000274,185.4068760999944,186.40599810000276,186.40599810000276,186.95719250000548,x,0,0.5366813999717124,None,,,,,,,,,,,,,,,727214,001,2024-10-16_17h50.24.138,4.0 Motor Sequence Learning,2024.1.5,None,2024-10-16 17h50.33.464475 +0530,
50,c,15,2,62,2,,,,,186.97444369998993,,186.9590557999909,186.97444369998993,187.97111919999588,187.97111919999588,187.97111919999588,187.97111919999588,187.97111919999588,188.97033919999376,188.97033919999376,189.37132099998416,c,1,0.38571719999890774,None,,,,,,,,,,,,,,,727214,001,2024-10-16_17h50.24.138,4.0 Motor Sequence Learning,2024.1.5,None,2024-10-16 17h50.33.464475 +0530,
-150,z,15,3,63,3,,,,,189.3891181999934,,189.37328639999032,189.3891181999934,190.3718893000041,190.3718893000041,190.3718893000041,190.3718893000041,190.38608580001164,191.38502220000373,191.38502220000373,191.6878397000255,x,0,0.30059719999553636,None,,,,,,,,,,,,,,,727214,001,2024-10-16_17h50.24.138,4.0 Motor Sequence Learning,2024.1.5,None,2024-10-16 17h50.33.464475 +0530,
-50,x,16,0,64,0,,,,,191.7040113999974,,191.68970500002615,191.7040113999974,192.70296880003298,192.70296880003298,192.70296880003298,192.70296880003298,192.71683290001238,193.6999225000036,193.6999225000036,194.13426700001583,v,0,0.4300480999518186,None,,,,,,,,,,,,,,,727214,001,2024-10-16_17h50.24.138,4.0 Motor Sequence Learning,2024.1.5,None,2024-10-16 17h50.33.464475 +0530,
150,v,16,1,65,1,,,,,194.1517251000041,,194.13605909998296,194.1517251000041,195.13460450002458,195.13460450002458,195.13460450002458,195.13460450002458,195.14882880001096,196.14786379999714,196.14786379999714,196.21555750002153,z,0,0.05520719999913126,None,,,,,,,,,,,,,,,727214,001,2024-10-16_17h50.24.138,4.0 Motor Sequence Learning,2024.1.5,None,2024-10-16 17h50.33.464475 +0530,
