pos,corr_resp,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,fixation.started,line1.started,line2.started,line3.started,line4.started,fixation.stopped,probe.started,key_resp.started,trial.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
-50,x,1,0,4,1,4,0,16,0,2665.0555681000114,,2665.0393573999754,2665.0555681000114,2666.037922299991,2666.037922299991,2666.037922299991,2666.037922299991,2666.0519361000042,2667.0510556999943,2667.0510556999943,2668.202102100011,v,0,1.1376103999791667,None,293371,001,2024-10-16_15h55.48.869,4.0 Motor Sequence Learning,2024.1.5,None,2024-10-16 15h55.58.497276 +0530,
150,v,1,0,4,1,4,1,17,1,2668.2194448999944,,2668.204245299974,2668.2194448999944,2669.215881799988,2669.215881799988,2669.215881799988,2669.215881799988,2669.215881799988,2670.2150447000167,2670.2150447000167,2671.7652114999946,z,0,1.5342588999774307,None,293371,001,2024-10-16_15h55.48.869,4.0 Motor Sequence Learning,2024.1.5,None,2024-10-16 15h55.58.497276 +0530,
50,c,1,0,4,1,4,2,18,2,2671.7829519999796,,2671.7669618999935,2671.7829519999796,2672.7653374999645,2672.7653374999645,2672.7653374999645,2672.7653374999645,2672.7792767999927,2673.7786132000037,2673.7786132000037,2674.879056399979,c,1,1.0946854000212625,None,293371,001,2024-10-16_15h55.48.869,4.0 Motor Sequence Learning,2024.1.5,None,2024-10-16 15h55.58.497276 +0530,
-150,z,1,0,4,1,4,3,19,3,2674.8966839999775,,2674.880972499959,2674.8966839999775,2675.879751199973,2675.879751199973,2675.879751199973,2675.879751199973,2675.893535499985,2676.8927850999753,2676.8927850999753,2678.210252299963,x,0,1.3126901999930851,None,293371,001,2024-10-16_15h55.48.869,4.0 Motor Sequence Learning,2024.1.5,None,2024-10-16 15h55.58.497276 +0530,
-50,x,1,0,4,1,5,0,20,0,2678.2278098000097,,2678.2124330999795,2678.2278098000097,2679.224087600014,2679.224087600014,2679.224087600014,2679.224087600014,2679.224087600014,2680.2233135999995,2680.2233135999995,2681.6077972999774,v,0,1.379156699986197,None,293371,001,2024-10-16_15h55.48.869,4.0 Motor Sequence Learning,2024.1.5,None,2024-10-16 15h55.58.497276 +0530,
150,v,1,0,4,1,5,1,21,1,2681.624758399965,,2681.6097368999617,2681.624758399965,2682.621486799966,2682.621486799966,2682.621486799966,2682.621486799966,2682.621486799966,2683.6203596999985,2683.6203596999985,2684.4547955999733,z,0,0.8229239000356756,None,293371,001,2024-10-16_15h55.48.869,4.0 Motor Sequence Learning,2024.1.5,None,2024-10-16 15h55.58.497276 +0530,
50,c,1,0,4,1,5,2,22,2,2684.4720763000078,,2684.4566133999615,2684.4720763000078,2685.4553948999965,2685.4553948999965,2685.4553948999965,2685.4553948999965,2685.4688330999925,2686.4680538999964,2686.4680538999964,2687.985783500015,c,1,1.513416200003121,None,293371,001,2024-10-16_15h55.48.869,4.0 Motor Sequence Learning,2024.1.5,None,2024-10-16 15h55.58.497276 +0530,
-150,z,1,0,4,1,5,3,23,3,2688.0032805000083,,2687.987889299984,2688.0032805000083,2688.9996429000166,2688.9996429000166,2688.9996429000166,2688.9996429000166,2688.9996429000166,2689.998670700006,2689.998670700006,2690.56606859999,z,1,0.5521568999974988,None,293371,001,2024-10-16_15h55.48.869,4.0 Motor Sequence Learning,2024.1.5,None,2024-10-16 15h55.58.497276 +0530,
-50,x,1,0,4,1,6,0,24,0,2690.5844538999954,,2690.567876599962,2690.5844538999954,2691.5665807999903,2691.5665807999903,2691.5665807999903,2691.5665807999903,2691.59732359997,2692.579884400009,2692.579884400009,2693.147585199971,v,0,0.5554918000125326,None,293371,001,2024-10-16_15h55.48.869,4.0 Motor Sequence Learning,2024.1.5,None,2024-10-16 15h55.58.497276 +0530,
150,v,1,0,4,1,6,1,25,1,2693.1654532999964,,2693.1494207999785,2693.1654532999964,2694.14816469996,2694.14816469996,2694.14816469996,2694.14816469996,2694.161736499984,2695.16075489996,2695.16075489996,2696.0784356999793,z,0,0.9129283999791369,None,293371,001,2024-10-16_15h55.48.869,4.0 Motor Sequence Learning,2024.1.5,None,2024-10-16 15h55.58.497276 +0530,
