pos,corr_resp,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,trial.started,fixation.started,line1.started,line2.started,line3.started,line4.started,fixation.stopped,probe.started,key_resp.started,trial.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,routine_2.started,Fixation.started,Line1.started,Line2.started,Line3.started,Line4.started,Fixation.stopped,Probe.started,key_resp_2.started,routine_2.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
-150,z,27,3,111,3,,,,,448.0663203999866,,448.0530250999145,448.0663203999866,449.06538980000187,449.06538980000187,449.06538980000187,449.06538980000187,449.06538980000187,450.0644114000024,450.0644114000024,451.61478920001537,z,1,1.5393033000873402,None,,,,,,,,,,,,,,,801544,001,2024-10-17_14h32.30.810,4.0 Motor Sequence Learning,2024.1.5,None,2024-10-17 14h33.02.628742 +0530,
-50,x,28,0,112,0,,,,,451.62961970001925,,451.6164365999866,451.62961970001925,452.6290790999774,452.6290790999774,452.6290790999774,452.6290790999774,452.6290790999774,453.6280731000006,453.6280731000006,455.9447220999282,c,0,2.2991379000013694,None,,,,,,,,,,,,,,,801544,001,2024-10-17_14h32.30.810,4.0 Motor Sequence Learning,2024.1.5,None,2024-10-17 14h33.02.628742 +0530,
150,v,28,1,113,1,,,,,455.95944609993603,,455.9465226000175,455.95944609993603,456.9587788999779,456.9587788999779,456.9587788999779,456.9587788999779,456.9587788999779,457.9579515999649,457.9579515999649,459.7251637999434,v,1,1.7622246999526396,None,,,,,,,,,,,,,,,801544,001,2024-10-17_14h32.30.810,4.0 Motor Sequence Learning,2024.1.5,None,2024-10-17 14h33.02.628742 +0530,
50,c,28,2,114,2,,,,,459.73988339991774,,459.7269060999388,459.73988339991774,460.7391612000065,460.7391612000065,460.7391612000065,460.7391612000065,460.7391612000065,461.73816209996585,461.73816209996585,463.4882418999914,x,0,1.7369406999787316,None,,,,,,,,,,,,,,,801544,001,2024-10-17_14h32.30.810,4.0 Motor Sequence Learning,2024.1.5,None,2024-10-17 14h33.02.628742 +0530,
-150,z,28,3,115,3,,,,,463.5034477999434,,463.4897988999728,463.5034477999434,464.5026598999975,464.5026598999975,464.5026598999975,464.5026598999975,464.5026598999975,465.50188210001215,465.50188210001215,467.3348821999971,z,1,1.8207179999444634,None,,,,,,,,,,,,,,,801544,001,2024-10-17_14h32.30.810,4.0 Motor Sequence Learning,2024.1.5,None,2024-10-17 14h33.02.628742 +0530,
-50,x,29,0,116,0,,,,,467.3499676999636,,467.33665269997437,467.3499676999636,468.3495560999727,468.3495560999727,468.3495560999727,468.3495560999727,468.3495560999727,469.3486359999515,469.3486359999515,471.1657048999332,c,0,1.8037736000260338,None,,,,,,,,,,,,,,,801544,001,2024-10-17_14h32.30.810,4.0 Motor Sequence Learning,2024.1.5,None,2024-10-17 14h33.02.628742 +0530,
150,v,29,1,117,1,,,,,471.180462099961,,471.16751169995405,471.180462099961,472.1796833999688,472.1796833999688,472.1796833999688,472.1796833999688,472.1796833999688,473.178641699953,473.178641699953,475.26222599996254,v,1,2.071649100049399,None,,,,,,,,,,,,,,,801544,001,2024-10-17_14h32.30.810,4.0 Motor Sequence Learning,2024.1.5,None,2024-10-17 14h33.02.628742 +0530,
50,c,29,2,118,2,,,,,475.27737030002754,,475.2638993000146,475.27737030002754,476.27622210001573,476.27622210001573,476.27622210001573,476.27622210001573,476.27622210001573,477.2753800000064,477.2753800000064,479.29192769993097,x,0,2.0033979000290856,None,,,,,,,,,,,,,,,801544,001,2024-10-17_14h32.30.810,4.0 Motor Sequence Learning,2024.1.5,None,2024-10-17 14h33.02.628742 +0530,
-150,z,29,3,119,3,,,,,479.3069416999351,,479.2937197999563,479.3069416999351,480.3064468000084,480.3064468000084,480.3064468000084,480.3064468000084,480.3064468000084,481.3053918000078,481.3053918000078,483.50474899995606,z,1,2.185362200019881,None,,,,,,,,,,,,,,,801544,001,2024-10-17_14h32.30.810,4.0 Motor Sequence Learning,2024.1.5,None,2024-10-17 14h33.02.628742 +0530,
-50,x,30,0,120,0,,,,,483.5194350000238,,483.50652099994477,483.5194350000238,484.5196820999263,484.5196820999263,484.5196820999263,484.5196820999263,484.5196820999263,485.5186087000184,485.5186087000184,487.65163209999446,c,0,2.1159507000120357,None,,,,,,,,,,,,,,,801544,001,2024-10-17_14h32.30.810,4.0 Motor Sequence Learning,2024.1.5,None,2024-10-17 14h33.02.628742 +0530,
