pos,corr_resp,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,trial.started,fixation.started,fixation.stopped,line1.started,line2.started,line3.started,line4.started,probe.started,key_resp.started,trial.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,routine_2.started,Fixation.started,Line1.started,Line2.started,Line3.started,Line4.started,Fixation.stopped,Probe.started,key_resp_2.started,routine_2.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
-150,z,37,3,151,3,,,,,392.2269486000296,,392.2104139000876,392.2269486000296,393.22312680003233,393.2092824000865,393.2092824000865,393.2092824000865,393.2092824000865,394.22226980002597,394.22226980002597,394.97309490002226,z,1,0.7444535000249743,None,,,,,,,,,,,,,,,412268,001,2024-10-17_15h12.24.093,4.0 Motor Sequence Learning,2024.1.5,None,2024-10-17 15h12.33.330705 +0530,
-50,x,38,0,152,0,,,,,394.991354900063,,394.97486750001553,394.991354900063,395.98754740005825,395.97385090007447,395.97385090007447,395.97385090007447,395.97385090007447,396.98670680006035,396.98670680006035,397.78764510003384,x,1,0.7921842999057844,None,,,,,,,,,,,,,,,412268,001,2024-10-17_15h12.24.093,4.0 Motor Sequence Learning,2024.1.5,None,2024-10-17 15h12.33.330705 +0530,
150,v,38,1,153,1,,,,,397.80559910007287,,397.78926550003234,397.80559910007287,398.8017603000626,398.78831129998434,398.78831129998434,398.78831129998434,398.78831129998434,399.8010517000221,399.8010517000221,400.6516313999891,v,1,0.8358289999887347,None,,,,,,,,,,,,,,,412268,001,2024-10-17_15h12.24.093,4.0 Motor Sequence Learning,2024.1.5,None,2024-10-17 15h12.33.330705 +0530,
50,c,38,2,154,2,,,,,400.66975180001464,,400.65356250002515,400.66975180001464,401.66616510006133,401.6522361000534,401.6522361000534,401.6522361000534,401.6522361000534,402.66539119998924,402.66539119998924,403.28292380005587,c,1,0.6004739999771118,None,,,,,,,,,,,,,,,412268,001,2024-10-17_15h12.24.093,4.0 Motor Sequence Learning,2024.1.5,None,2024-10-17 15h12.33.330705 +0530,
-150,z,38,3,155,3,,,,,403.30084939999506,,403.2847014000872,403.30084939999506,404.29728810000233,404.2838257000549,404.2838257000549,404.2838257000549,404.2838257000549,405.29643740004394,405.29643740004394,406.0302701999899,z,1,0.7254143999889493,None,,,,,,,,,,,,,,,412268,001,2024-10-17_15h12.24.093,4.0 Motor Sequence Learning,2024.1.5,None,2024-10-17 15h12.33.330705 +0530,
-50,x,39,0,156,0,,,,,406.04882830008864,,406.0313180000521,406.04882830008864,407.0449614999816,407.031473500072,407.031473500072,407.031473500072,407.031473500072,408.0441716000205,408.0441716000205,408.6290825000033,x,1,0.5811144999461249,None,,,,,,,,,,,,,,,412268,001,2024-10-17_15h12.24.093,4.0 Motor Sequence Learning,2024.1.5,None,2024-10-17 15h12.33.330705 +0530,
150,v,39,1,157,1,,,,,408.6465522000799,,408.63221630000044,408.6465522000799,409.6429096000502,409.6429096000502,409.6429096000502,409.6429096000502,409.6429096000502,410.6420071000466,410.6420071000466,411.8427188000642,v,1,1.1875059999292716,None,,,,,,,,,,,,,,,412268,001,2024-10-17_15h12.24.093,4.0 Motor Sequence Learning,2024.1.5,None,2024-10-17 15h12.33.330705 +0530,
50,c,39,2,158,2,,,,,411.860705900006,,411.8457797000883,411.860705900006,412.85694460000377,412.85694460000377,412.85694460000377,412.85694460000377,412.85694460000377,413.8561513000168,413.8561513000168,414.78963620006107,c,1,0.9306847000261769,None,,,,,,,,,,,,,,,412268,001,2024-10-17_15h12.24.093,4.0 Motor Sequence Learning,2024.1.5,None,2024-10-17 15h12.33.330705 +0530,
-150,z,39,3,159,3,,,,,414.80824929999653,,414.7905872000847,414.80824929999653,415.80457070004195,415.79082460002974,415.79082460002974,415.79082460002974,415.79082460002974,416.8037277000258,416.8037277000258,417.637307099998,z,1,0.8269999000476673,None,,,,,,,,,,,,,,,412268,001,2024-10-17_15h12.24.093,4.0 Motor Sequence Learning,2024.1.5,None,2024-10-17 15h12.33.330705 +0530,
-50,x,40,0,160,0,,,,,417.65599320002366,,417.63818900007755,417.65599320002366,418.65224299998954,418.6384083000012,418.6384083000012,418.6384083000012,418.6384083000012,419.65142440004274,419.65142440004274,420.41939190006815,x,1,0.7655222999164835,None,,,,,,,,,,,,,,,412268,001,2024-10-17_15h12.24.093,4.0 Motor Sequence Learning,2024.1.5,None,2024-10-17 15h12.33.330705 +0530,
150,v,40,1,161,1,,,,,420.436977299978,,420.4211491000606,420.436977299978,421.4333415000001,421.4333415000001,421.4333415000001,421.4333415000001,421.4333415000001,422.43239680002443,422.43239680002443,423.25019450008404,v,1,0.8101673999335617,None,,,,,,,,,,,,,,,412268,001,2024-10-17_15h12.24.093,4.0 Motor Sequence Learning,2024.1.5,None,2024-10-17 15h12.33.330705 +0530,
50,c,40,2,162,2,,,,,423.268245400046,,423.2519420000026,423.268245400046,424.280964900041,424.25057300005574,424.25057300005574,424.25057300005574,424.25057300005574,425.2635171000147,425.2635171000147,426.5647454999853,c,1,1.2991461999481544,None,,,,,,,,,,,,,,,412268,001,2024-10-17_15h12.24.093,4.0 Motor Sequence Learning,2024.1.5,None,2024-10-17 15h12.33.330705 +0530,
-150,z,40,3,163,3,,,,,426.5819066000404,,426.5665031999815,426.5819066000404,427.5783236999996,427.5783236999996,427.5783236999996,427.5783236999996,427.5783236999996,428.5773201000411,428.5773201000411,429.3954314000439,z,1,0.8155495999380946,None,,,,,,,,,,,,,,,412268,001,2024-10-17_15h12.24.093,4.0 Motor Sequence Learning,2024.1.5,None,2024-10-17 15h12.33.330705 +0530,
-50,x,41,0,164,0,,,,,429.41309629997704,,429.39716749999207,429.41309629997704,430.4093742000405,430.4093742000405,430.4093742000405,430.4093742000405,430.4093742000405,431.4085033000447,431.4085033000447,432.15960790007375,x,1,0.73466729989741,None,,,,,,,,,,,,,,,412268,001,2024-10-17_15h12.24.093,4.0 Motor Sequence Learning,2024.1.5,None,2024-10-17 15h12.33.330705 +0530,
