trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,fixation.started,fixation.stopped,key_resp.started,trial.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
50,0,50,0,78.36564329999965,,78.35155689995736,78.36564329999965,79.36504889995558,79.36504889995558,79.71631409996189,up,0,0.34353050001664087,None,980462,001,2024-09-17_12h54.34.744,Signal Detection,2024.1.5,None,2024-09-17 12h54.44.996398 +0530,
51,0,51,0,79.73126459994819,,79.71929729997646,79.73126459994819,80.73073759995168,80.73073759995168,81.33152089995565,up,1,0.5966092000016943,None,980462,001,2024-09-17_12h54.34.744,Signal Detection,2024.1.5,None,2024-09-17 12h54.44.996398 +0530,
52,0,52,0,81.34678739996161,,81.33428989996901,81.34678739996161,82.34584169997834,82.34584169997834,83.0632075999747,up,1,0.7047124999808148,None,980462,001,2024-09-17_12h54.34.744,Signal Detection,2024.1.5,None,2024-09-17 12h54.44.996398 +0530,
53,0,53,0,83.0785854999558,,83.06643449998228,83.0785854999558,84.0779580999515,84.0779580999515,84.64538289996563,up,0,0.5593181999865919,None,980462,001,2024-09-17_12h54.34.744,Signal Detection,2024.1.5,None,2024-09-17 12h54.44.996398 +0530,
54,0,54,0,84.66059569997014,,84.64834529999644,84.66059569997014,85.65999359998386,85.65999359998386,86.24465349997627,down,1,0.5827548999805003,None,980462,001,2024-09-17_12h54.34.744,Signal Detection,2024.1.5,None,2024-09-17 12h54.44.996398 +0530,
55,0,55,0,86.25922439998249,,86.24965519999387,86.25922439998249,87.25862599996617,87.25862599996617,87.70954359997995,up,1,0.43750790000194684,None,980462,001,2024-09-17_12h54.34.744,Signal Detection,2024.1.5,None,2024-09-17 12h54.44.996398 +0530,
56,0,56,0,87.72481759998482,,87.71283629996469,87.72481759998482,88.72397529997397,88.72397529997397,89.22490109998034,up,1,0.48459680000087246,None,980462,001,2024-09-17_12h54.34.744,Signal Detection,2024.1.5,None,2024-09-17 12h54.44.996398 +0530,
57,0,57,0,89.2401106999605,,89.2279331999598,89.2401106999605,90.23940269998275,90.23940269998275,90.65719739999622,up,1,0.4138489999459125,None,980462,001,2024-09-17_12h54.34.744,Signal Detection,2024.1.5,None,2024-09-17 12h54.44.996398 +0530,
58,0,58,0,90.67228219995741,,90.66005589999259,90.67228219995741,91.67154249997111,91.67154249997111,92.0722642999608,up,0,0.3838714999728836,None,980462,001,2024-09-17_12h54.34.744,Signal Detection,2024.1.5,None,2024-09-17 12h54.44.996398 +0530,
59,0,59,0,92.08768219995545,,92.0751353999949,92.08768219995545,93.0868169000023,93.0868169000023,93.43778079998447,up,0,0.34962929994799197,None,980462,001,2024-09-17_12h54.34.744,Signal Detection,2024.1.5,None,2024-09-17 12h54.44.996398 +0530,
60,0,60,0,93.45329069998115,,93.43984809995163,93.45329069998115,94.45255919999909,94.45255919999909,94.80364209995605,up,1,0.34867039998061955,None,980462,001,2024-09-17_12h54.34.744,Signal Detection,2024.1.5,None,2024-09-17 12h54.44.996398 +0530,
61,0,61,0,94.81898789998377,,94.80645699996967,94.81898789998377,95.81835590000264,95.81835590000264,96.20266819995595,up,1,0.3799921000027098,None,980462,001,2024-09-17_12h54.34.744,Signal Detection,2024.1.5,None,2024-09-17 12h54.44.996398 +0530,
62,0,62,0,96.2177432999597,,96.20553659996949,96.2177432999597,97.21701079997001,97.21701079997001,97.61790849996032,up,0,0.38383589999284595,None,980462,001,2024-09-17_12h54.34.744,Signal Detection,2024.1.5,None,2024-09-17 12h54.44.996398 +0530,
63,0,63,0,97.63323779997882,,97.62073289998807,97.63323779997882,98.63243409997085,98.63243409997085,99.16727959999116,up,0,0.5324924999731593,None,980462,001,2024-09-17_12h54.34.744,Signal Detection,2024.1.5,None,2024-09-17 12h54.44.996398 +0530,
64,0,64,0,99.18204329995206,,99.17011969996383,99.18204329995206,100.18112619995372,100.18112619995372,100.89863029995468,up,1,0.7082788000116125,None,980462,001,2024-09-17_12h54.34.744,Signal Detection,2024.1.5,None,2024-09-17 12h54.44.996398 +0530,
65,0,65,0,100.91388099995675,,100.9017853999976,100.91388099995675,101.91312959999777,101.91312959999777,102.36427439999534,up,1,0.4402064000023529,None,980462,001,2024-09-17_12h54.34.744,Signal Detection,2024.1.5,None,2024-09-17 12h54.44.996398 +0530,
66,0,66,0,102.37937489995966,,102.36737049999647,102.37937489995966,103.37831489997916,103.37831489997916,103.82936849998077,up,1,0.4433349999599159,None,980462,001,2024-09-17_12h54.34.744,Signal Detection,2024.1.5,None,2024-09-17 12h54.44.996398 +0530,
67,0,67,0,103.84489309997298,,103.83226209995337,103.84489309997298,104.84404050000012,104.84404050000012,105.41161889996147,up,1,0.5575381999951787,None,980462,001,2024-09-17_12h54.34.744,Signal Detection,2024.1.5,None,2024-09-17 12h54.44.996398 +0530,
68,0,68,0,105.42669900000328,,105.41457059996901,105.42669900000328,106.42608489998383,106.42608489998383,106.92700249998597,down,1,0.49840019998373464,None,980462,001,2024-09-17_12h54.34.744,Signal Detection,2024.1.5,None,2024-09-17 12h54.44.996398 +0530,
69,0,69,0,106.94237419997808,,106.92981699999655,106.94237419997808,107.95834239997203,107.94144669995876,108.55883599998197,up,0,0.60178620001534,None,980462,001,2024-09-17_12h54.34.744,Signal Detection,2024.1.5,None,2024-09-17 12h54.44.996398 +0530,
70,0,70,0,108.57427749998169,,108.5617382999626,108.57427749998169,109.57337899995036,109.57337899995036,110.1580025999574,up,1,0.5789120999979787,None,980462,001,2024-09-17_12h54.34.744,Signal Detection,2024.1.5,None,2024-09-17 12h54.44.996398 +0530,
71,0,71,0,110.17292199999793,,110.16160170000512,110.17292199999793,111.17198489996372,111.17198489996372,111.68992149998667,up,0,0.5146725999657065,None,980462,001,2024-09-17_12h54.34.744,Signal Detection,2024.1.5,None,2024-09-17 12h54.44.996398 +0530,
72,0,72,0,111.70513649994973,,111.69288669998059,111.70513649994973,112.70419979997678,112.70419979997678,113.13907799997833,up,0,0.4332406999892555,None,980462,001,2024-09-17_12h54.34.744,Signal Detection,2024.1.5,None,2024-09-17 12h54.44.996398 +0530,
73,0,73,0,113.15384909999557,,113.14195849996759,113.15384909999557,114.15300890000071,114.15300890000071,114.57047629996669,up,1,0.41380799998296425,None,980462,001,2024-09-17_12h54.34.744,Signal Detection,2024.1.5,None,2024-09-17 12h54.44.996398 +0530,
74,0,74,0,114.58595409995178,,114.57327599998098,114.58595409995178,115.58526989998063,115.58526989998063,116.00293269997928,up,1,0.40254490001825616,None,980462,001,2024-09-17_12h54.34.744,Signal Detection,2024.1.5,None,2024-09-17 12h54.44.996398 +0530,
75,0,75,0,116.01799109997228,,116.00577369995881,116.01799109997228,117.01739100000123,117.01739100000123,117.45196799997939,up,1,0.42729800002416596,None,980462,001,2024-09-17_12h54.34.744,Signal Detection,2024.1.5,None,2024-09-17 12h54.44.996398 +0530,
76,0,76,0,117.46683569997549,,117.45482909999555,117.46683569997549,118.46622149995528,118.46622149995528,118.80046139995102,up,1,0.32462790003046393,None,980462,001,2024-09-17_12h54.34.744,Signal Detection,2024.1.5,None,2024-09-17 12h54.44.996398 +0530,
77,0,77,0,118.81587659998331,,118.80338419997133,118.81587659998331,119.81507439998677,119.81507439998677,120.24930949998088,down,0,0.4252182000200264,None,980462,001,2024-09-17_12h54.34.744,Signal Detection,2024.1.5,None,2024-09-17 12h54.44.996398 +0530,
78,0,78,0,120.26459119998617,,120.25297410000348,120.26459119998617,121.26389599998947,121.26389599998947,121.69796069996664,down,1,0.4224779999931343,None,980462,001,2024-09-17_12h54.34.744,Signal Detection,2024.1.5,None,2024-09-17 12h54.44.996398 +0530,
79,0,79,0,121.71340740000596,,121.7013239999651,121.71340740000596,122.71266329998616,122.71266329998616,123.14681619999465,up,1,0.4244217000086792,None,980462,001,2024-09-17_12h54.34.744,Signal Detection,2024.1.5,None,2024-09-17 12h54.44.996398 +0530,
80,0,80,0,123.16223659995012,,123.14973669999745,123.16223659995012,124.16136309999274,124.16136309999274,124.59570049995091,up,0,0.41758330003358424,None,980462,001,2024-09-17_12h54.34.744,Signal Detection,2024.1.5,None,2024-09-17 12h54.44.996398 +0530,
81,0,81,0,124.61106899997685,,124.5985640999861,124.61106899997685,125.61028329998953,125.61028329998953,126.32777199998964,up,1,0.7025723999831825,None,980462,001,2024-09-17_12h54.34.744,Signal Detection,2024.1.5,None,2024-09-17 12h54.44.996398 +0530,
82,0,82,0,126.34293379995506,,126.33133029995952,126.34293379995506,127.3584652999998,127.34207399998559,127.77595949999522,up,1,0.4198700999841094,None,980462,001,2024-09-17_12h54.34.744,Signal Detection,2024.1.5,None,2024-09-17 12h54.44.996398 +0530,
83,0,83,0,127.79163259995403,,127.77821319998475,127.79163259995403,128.79077789996518,128.79077789996518,129.2579513999517,up,0,0.4541662000119686,None,980462,001,2024-09-17_12h54.34.744,Signal Detection,2024.1.5,None,2024-09-17 12h54.44.996398 +0530,
84,0,84,0,129.27363709994825,,129.26011819997802,129.27363709994825,130.27290589996846,130.27290589996846,130.65720639994834,up,1,0.38299789995653555,None,980462,001,2024-09-17_12h54.34.744,Signal Detection,2024.1.5,None,2024-09-17 12h54.44.996398 +0530,
85,0,85,0,130.67249420000007,,130.65943219995825,130.67249420000007,131.67180969996843,131.67180969996843,132.07232159998966,up,1,0.38399289996596053,None,980462,001,2024-09-17_12h54.34.744,Signal Detection,2024.1.5,None,2024-09-17 12h54.44.996398 +0530,
86,0,86,0,132.08810090000043,,132.07448129996192,132.08810090000043,133.08727209997596,133.08727209997596,133.43821920000482,up,1,0.3378371999715455,None,980462,001,2024-09-17_12h54.34.744,Signal Detection,2024.1.5,None,2024-09-17 12h54.44.996398 +0530,
87,0,87,0,133.45348839997314,,133.44051200000104,133.45348839997314,134.4526804999914,134.4526804999914,134.77015880000545,up,1,0.3141969999996945,None,980462,001,2024-09-17_12h54.34.744,Signal Detection,2024.1.5,None,2024-09-17 12h54.44.996398 +0530,
88,0,88,0,134.78578529995866,,134.77239840000402,134.78578529995866,135.78502389998175,135.78502389998175,136.13550360000227,up,0,0.3336641999776475,None,980462,001,2024-09-17_12h54.34.744,Signal Detection,2024.1.5,None,2024-09-17 12h54.44.996398 +0530,
89,0,89,0,136.1511936999741,,136.13748189999023,136.1511936999741,137.15042199997697,137.15042199997697,137.5181048999657,up,0,0.35587110003689304,None,980462,001,2024-09-17_12h54.34.744,Signal Detection,2024.1.5,None,2024-09-17 12h54.44.996398 +0530,
90,0,90,0,137.5335739000002,,137.52029099996435,137.5335739000002,138.53281279996736,138.53281279996736,138.96701520000352,up,0,0.43279859999893233,None,980462,001,2024-09-17_12h54.34.744,Signal Detection,2024.1.5,None,2024-09-17 12h54.44.996398 +0530,
91,0,91,0,138.9823317999835,,138.96923089999473,138.9823317999835,139.98173759999918,139.98173759999918,140.3488714999985,up,1,0.3620983000146225,None,980462,001,2024-09-17_12h54.34.744,Signal Detection,2024.1.5,None,2024-09-17 12h54.44.996398 +0530,
92,0,92,0,140.36453199997777,,140.3511453999672,140.36453199997777,141.36394710000604,141.36394710000604,141.74780769995414,up,0,0.3825981999980286,None,980462,001,2024-09-17_12h54.34.744,Signal Detection,2024.1.5,None,2024-09-17 12h54.44.996398 +0530,
93,0,93,0,141.76339589996496,,141.75006319995737,141.76339589996496,142.76262080000015,142.76262080000015,143.1964169999701,down,0,0.4228529999963939,None,980462,001,2024-09-17_12h54.34.744,Signal Detection,2024.1.5,None,2024-09-17 12h54.44.996398 +0530,
94,0,94,0,143.21217590000015,,143.1983299999847,143.21217590000015,144.2114199999487,144.2114199999487,144.59543970000232,down,0,0.37696139997569844,None,980462,001,2024-09-17_12h54.34.744,Signal Detection,2024.1.5,None,2024-09-17 12h54.44.996398 +0530,
95,0,95,0,144.61103659996297,,144.59776059997967,144.61103659996297,145.61028109997278,145.61028109997278,146.01096829999005,up,1,0.39361509995069355,None,980462,001,2024-09-17_12h54.34.744,Signal Detection,2024.1.5,None,2024-09-17 12h54.44.996398 +0530,
96,0,96,0,146.02659389999462,,146.01284300000407,146.02659389999462,147.0257747999858,147.0257747999858,147.32664729998214,up,0,0.2924057000200264,None,980462,001,2024-09-17_12h54.34.744,Signal Detection,2024.1.5,None,2024-09-17 12h54.44.996398 +0530,
97,0,97,0,147.34202079998795,,147.32884380000178,147.34202079998795,148.3412977999542,148.3412977999542,148.94180089997826,down,1,0.5854542999877594,None,980462,001,2024-09-17_12h54.34.744,Signal Detection,2024.1.5,None,2024-09-17 12h54.44.996398 +0530,
98,0,98,0,148.95746889995644,,148.94405930000357,148.95746889995644,149.9566829999676,149.9566829999676,150.39107859996147,down,0,0.4289880000287667,None,980462,001,2024-09-17_12h54.34.744,Signal Detection,2024.1.5,None,2024-09-17 12h54.44.996398 +0530,
99,0,99,0,150.4064142999705,,150.3941957000061,150.4064142999705,151.4056204999797,151.4056204999797,151.9400225999998,up,0,0.5187097999732941,None,980462,001,2024-09-17_12h54.34.744,Signal Detection,2024.1.5,None,2024-09-17 12h54.44.996398 +0530,
