image,orientation,corrAns,response.keys,response.corr,response.rt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UF 2,140,right,right,1,1.6684954,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ig 1,0,left,right,0,1.3170299,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
adidas 2,0,right,left,0,1.3150234,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
adidas 1,0,left,right,0,1.2664432,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UF 3,90,right,left,0,1.2786576,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ig 2,80,right,right,1,1.5784742,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CN 1,0,left,left,1,1.2599499,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CN 2,100,right,right,1,1.2652598,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fb 1,0,left,right,0,2.2996081,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
twitter 1,0,left,left,1,1.3847541,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
twitch 2,120,right,right,1,1.2677738,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CN 1,0,left,left,1,1.2133754,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
google 2,40,right,right,1,1.5991677,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fb 1,0,left,left,1,1.4984154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UF 4,10,right,right,1,2.4575253,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UF 3,90,right,left,0,1.7785498,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UF 2,140,right,left,0,2.4703743,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
twitter 2,60,right,left,0,2.598875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
twitter 1,0,left,left,1,1.4954827,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CN 2,100,right,right,1,1.5665913,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fb 2,20,right,right,1,1.6167242,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
adidas 2,0,right,left,0,1.6287962,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ig 2,80,right,right,1,1.5313353,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
twitch 2,120,right,right,1,1.8120505,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
adidas 1,0,left,left,1,1.5864038,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ig 1,0,left,right,0,2.4703803,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
twitch 1,0,left,left,1,1.3382834,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
google 1,0,left,left,1,1.3062568,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UF 1,0,left,left,1,1.3555014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
google 2,40,right,right,1,1.8501933,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fb 2,20,right,left,0,1.5340811,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
twitch 1,0,left,right,0,2.1501569,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
twitch 2,120,right,left,0,1.6776064,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UF 1,0,left,left,1,1.7816268,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
twitter 2,60,right,right,1,2.972436,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
google 1,0,left,left,1,1.5712435,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CN 2,100,right,right,1,1.5867905,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
twitter 1,0,left,right,0,1.6109439,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ig 2,80,right,left,0,1.5571629,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
adidas 1,0,left,left,1,2.2883908,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UF 2,140,right,right,1,3.7133379,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
adidas 2,0,right,left,0,2.3023819,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UF 4,10,right,right,1,1.9658337,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fb 1,0,left,left,1,1.5211157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ig 1,0,left,right,0,1.7872539,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UF 3,90,right,left,0,2.1751361,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CN 1,0,left,right,0,1.5448286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
twitter 1,0,left,left,1,1.5258662,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
google 2,40,right,right,1,1.5051543,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ig 2,80,right,right,1,1.8059097,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CN 2,100,right,left,0,2.6957868,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UF 2,140,right,left,0,3.2637573,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
google 1,0,left,right,0,2.2172791,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
twitch 1,0,left,left,1,1.6901586,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UF 1,0,left,left,1,2.59008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
